# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 8.290e-07 9.580e-07 8.861e-07 3.011e-08
      13 9.510e-07 1.112e-06 1.029e-06 3.945e-08
      16 1.102e-06 1.377e-06 1.220e-06 5.938e-08
      20 1.364e-06 1.967e-06 1.584e-06 1.436e-07
      25 1.722e-06 2.241e-06 1.935e-06 1.076e-07
      32 2.364e-06 3.079e-06 2.659e-06 1.535e-07
      40 2.903e-06 3.938e-06 3.427e-06 2.644e-07
      50 3.520e-06 5.212e-06 4.120e-06 3.421e-07
      63 4.543e-06 5.838e-06 5.116e-06 3.265e-07
      79 6.119e-06 7.595e-06 6.682e-06 2.950e-07
     100 9.267e-06 1.281e-05 1.025e-05 7.315e-07
     126 1.375e-05 1.826e-05 1.500e-05 6.709e-07
     158 2.052e-05 2.492e-05 2.218e-05 8.516e-07
     200 3.060e-05 3.695e-05 3.256e-05 1.111e-06
     251 4.476e-05 5.655e-05 4.752e-05 1.781e-06
     316 6.694e-05 7.756e-05 6.968e-05 1.708e-06
     398 9.894e-05 1.226e-04 1.035e-04 3.480e-06
     501 1.483e-04 1.975e-04 1.569e-04 9.741e-06
     631 2.248e-04 2.893e-04 2.361e-04 1.176e-05
     794 3.418e-04 4.462e-04 3.603e-04 1.875e-05
    1000 5.284e-04 6.830e-04 5.565e-04 2.889e-05
    1259 8.304e-04 1.048e-03 8.712e-04 4.165e-05
    1585 1.301e-03 1.682e-03 1.377e-03 7.403e-05
    1995 2.113e-03 2.645e-03 2.241e-03 1.244e-04
    2512 3.464e-03 4.235e-03 3.704e-03 1.973e-04
    3162 5.903e-03 7.051e-03 6.312e-03 2.724e-04
    3981 1.052e-02 1.251e-02 1.127e-02 4.603e-04
    5012 1.859e-02 2.095e-02 1.944e-02 5.588e-04
    6310 3.254e-02 3.661e-02 3.426e-02 9.376e-04
    7943 5.602e-02 6.180e-02 5.785e-02 1.330e-03
   10000 9.769e-02 1.083e-01 1.028e-01 2.441e-03
   12589 1.647e-01 1.755e-01 1.705e-01 2.532e-03
   15849 2.703e-01 2.831e-01 2.751e-01 2.168e-03
   19953 4.298e-01 4.674e-01 4.414e-01 9.595e-03
   25119 6.972e-01 7.511e-01 7.060e-01 1.114e-02
#------- --------- --------- --------- ---------


# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.240e-07 6.110e-07 5.641e-07 2.009e-08
      13 5.900e-07 6.930e-07 6.398e-07 2.411e-08
      16 6.700e-07 7.990e-07 7.317e-07 2.979e-08
      20 7.950e-07 9.650e-07 8.787e-07 4.146e-08
      25 9.820e-07 1.206e-06 1.095e-06 5.382e-08
      32 1.320e-06 1.629e-06 1.472e-06 7.410e-08
      40 1.782e-06 2.387e-06 2.035e-06 1.378e-07
      50 2.449e-06 3.029e-06 2.745e-06 1.349e-07
      63 3.555e-06 4.381e-06 3.968e-06 1.949e-07
      79 5.267e-06 6.995e-06 5.954e-06 4.274e-07
     100 7.809e-06 9.253e-06 8.484e-06 3.398e-07
     126 1.165e-05 1.367e-05 1.264e-05 4.765e-07
     158 1.740e-05 2.017e-05 1.877e-05 6.609e-07
     200 2.642e-05 3.091e-05 2.840e-05 9.947e-07
     251 3.992e-05 4.514e-05 4.240e-05 1.244e-06
     316 6.024e-05 6.682e-05 6.351e-05 1.519e-06
     398 9.174e-05 1.001e-04 9.559e-05 1.994e-06
     501 1.392e-04 1.510e-04 1.452e-04 2.727e-06
     631 2.139e-04 2.288e-04 2.213e-04 3.653e-06
     794 3.295e-04 3.505e-04 3.397e-04 5.027e-06
    1000 5.128e-04 5.409e-04 5.267e-04 6.808e-06
    1259 8.025e-04 8.434e-04 8.237e-04 9.768e-06
    1585 1.280e-03 1.344e-03 1.311e-03 1.486e-05
    1995 2.077e-03 2.206e-03 2.130e-03 2.834e-05
    2512 3.434e-03 3.597e-03 3.515e-03 3.904e-05
    3162 5.778e-03 6.064e-03 5.904e-03 6.522e-05
    3981 9.783e-03 1.050e-02 1.001e-02 1.336e-04
    5012 1.650e-02 1.717e-02 1.682e-02 1.599e-04
    6310 2.766e-02 2.867e-02 2.810e-02 2.295e-04
    7943 4.582e-02 4.736e-02 4.649e-02 3.459e-04
   10000 7.536e-02 7.776e-02 7.636e-02 5.296e-04
   12589 1.230e-01 1.267e-01 1.246e-01 7.844e-04
   15849 1.998e-01 2.044e-01 2.019e-01 1.063e-03
   19953 3.227e-01 3.301e-01 3.257e-01 1.606e-03
   25119 5.178e-01 5.267e-01 5.219e-01 2.008e-03
   31623 8.288e-01 9.040e-01 8.468e-01 1.946e-02
#------- --------- --------- --------- ---------


# insertion_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.040e-07 5.410e-07 5.209e-07 8.627e-09
      13 5.370e-07 5.760e-07 5.554e-07 9.157e-09
      16 5.740e-07 8.140e-07 6.548e-07 6.864e-08
      20 6.180e-07 6.790e-07 6.425e-07 1.381e-08
      25 6.810e-07 1.018e-06 7.394e-07 6.584e-08
      32 7.830e-07 1.874e-06 9.349e-07 2.242e-07
      40 9.100e-07 1.498e-06 1.053e-06 1.379e-07
      50 1.084e-06 1.228e-06 1.150e-06 3.533e-08
      63 1.349e-06 1.586e-06 1.446e-06 5.153e-08
      79 1.754e-06 2.727e-06 1.990e-06 2.557e-07
     100 2.366e-06 3.353e-06 2.604e-06 1.593e-07
     126 3.292e-06 3.950e-06 3.558e-06 1.396e-07
     158 4.631e-06 7.332e-06 5.076e-06 4.556e-07
     200 6.774e-06 8.190e-06 7.300e-06 2.864e-07
     251 1.003e-05 1.685e-05 1.105e-05 1.392e-06
     316 1.504e-05 2.454e-05 1.628e-05 1.613e-06
     398 2.278e-05 3.340e-05 2.432e-05 1.330e-06
     501 3.506e-05 4.425e-05 3.723e-05 1.417e-06
     631 5.431e-05 6.564e-05 5.711e-05 1.781e-06
     794 8.440e-05 9.952e-05 8.870e-05 2.783e-06
    1000 1.299e-04 1.435e-04 1.355e-04 2.981e-06
    1259 2.039e-04 3.825e-04 2.264e-04 3.397e-05
    1585 3.243e-04 5.436e-04 3.554e-04 4.232e-05
    1995 5.029e-04 6.342e-04 5.320e-04 2.691e-05
    2512 7.923e-04 8.546e-04 8.146e-04 1.317e-05
    3162 1.253e-03 1.323e-03 1.279e-03 1.484e-05
    3981 1.982e-03 2.154e-03 2.027e-03 2.867e-05
    5012 3.152e-03 3.669e-03 3.281e-03 1.052e-04
